username,tweet
kenktc,@HongKongFP @hyjpang These pro government lawmakers can’t even stand others 3 mins silence and have to leave. I am… https://t.co/TyPr7m1q90
ThomasHHChan,"RT @frances_sit: Dozens of Tseung Kwan O residents solemnly mourn the death of the UST student at Sheung Tak car park, at the spot where Ch…"
eeye24,So sad when this morning when I watched these news.. #HongKongProtests #HongKongPoliceBurtality  https://t.co/Bwb9HX8nlP
chhk852,"RT @Woppa1Woppa: #HKPolice say they didn't enter the parking lot BEFORE Chow fell off?  Yeah, they lied again.  Dash cam footage shows them…"
HongCanucker,"RT @frances_sit: Dozens of Tseung Kwan O residents solemnly mourn the death of the UST student at Sheung Tak car park, at the spot where Ch…"
sooo_mimi,"RT @CraigChoy: Chris Patten, #HK's last British governor, lashes #China's claims about 'black hands' &amp; CIA interference,

“the #British Gov…"
SueSue2019,RT @frances_sit: Hundreds of #HongKong people have participated in flash-mob marches/rallies in diff districts to mourn the death of the US…
KelvinIp9,RT @frances_sit: Police arrived at the scene to urge ppl to leave &amp; warning them they could be charged for participating in an illegal asse…
vvvvvvwwwhk,"RT @HKDailyTimes852: Beware that since #HongKongPolice uses chinese tear gas, ITS NOT FOR DISPERSE,ITS MORE LIKE LIVE AMMUNITION OR GRANADE…"
kenny00831,"RT @Woppa1Woppa: QE Hospital.  #HKUST student association wish for the press give Chow's family personal space, and also investigate why #H…"
Starz_Aminn,RT @runningpepe60: (YET TO BE CONFIRMED) Another footage showing what possibly happened to the young man before he is found with severe hea…
Nitram72002523,RT @HongKongFP: A new cartoon from Chinese artist @Badiucao after a student died following a fall during a police operation on Sunday. Full…
jammmcc,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
GarboHK,"RT @Woppa1Woppa: #HKPolice say they didn't enter the parking lot BEFORE Chow fell off?  Yeah, they lied again.  Dash cam footage shows them…"
369Rabbit,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
chingsuensi,RT @JOceanW: A group of students are now marching to the residence of the university president Wei Shyy to demand him to condemn police vio…
kam8822,"RT @VivienneChow: This alone needs independent investigation bcos no matter what the police say, public won’t believe them. RIP #HongKongPr…"
szelok1984,"RT @tictoc: Up to 88% of Hong Kong’s 7.4 million have been exposed to tear gas.

More via @bw: https://t.co/P3UnPqjYHy #HongKongProtests #香…"
OUISF1,"RT @CH_HONGKONG: #hongkongpolice basically aren’t professional anymore, just doing everything based on their emotion. no police will be hel…"
dimsumfang,"RT @tictoc: @business 🇭🇰 ""No matter how they prosecute activists, we will continue our fight in such uphill battle.""  

Hong Kong activist…"
LYHAUUEI0330,"RT @ajmm19923493: Today #HongKongers are walking to work on foot, an action to boycott MTR. They’re chanting Liberate #HongKong, Revolution…"
sep_hk,RT @Peggy_fung: How crazy is this photo showing the riot police just opened the door and shot directly at the journalist ignoring the fact…
Carlsau3,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
kam8822,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
chingsuensi,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
yyy_kin,RT @JOceanW: A group of students are now marching to the residence of the university president Wei Shyy to demand him to condemn police vio…
kenny00831,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
pusangkalye22,"RT @Woppa1Woppa: QE Hospital.  #HKUST student association wish for the press give Chow's family personal space, and also investigate why #H…"
Mallavika2,"RT @Woppa1Woppa: Central.  News broke out about Chow's death, and many working class citizens came to Chater Garden during their lunch brea…"
Max12876078,RT @JOceanW: A group of students are now marching to the residence of the university president Wei Shyy to demand him to condemn police vio…
leungyuenyee4,"RT @ClaudiaMCMo: University student Chow Tsz Lok died after falling one floor at a Tseung Kwan O housing estate car park 5 days ago, amid a…"
cn0gd,"RT @frances_sit: Around a hundred #HongKong protesters have occupied the junction of Pedder Street &amp;Des Voeux Road Central,in a flash mob s…"
mattantinucci,RT @Woppa1Woppa: Scene at #HKUST.  The stage used for graduation ceremony has turned into a memorial site for Alex Chow.  While most at the…
PaimeiGuy,RT @JOceanW: A group of students are now marching to the residence of the university president Wei Shyy to demand him to condemn police vio…
yukiliu53610280,RT @Peggy_fung: How crazy is this photo showing the riot police just opened the door and shot directly at the journalist ignoring the fact…
EvaJiangBa,"RT @ajmm19923493: Today #HongKongers are walking to work on foot, an action to boycott MTR. They’re chanting Liberate #HongKong, Revolution…"
JessWon40581467,"RT @FreedomHKG: StudentChow injured under Suspicious Circumstances!
#HongKongProtests #RipChow #HKHumanRightsandDemocracyAct 
#StandWithHon…"
haro730,"RT @lauinhk: Latest slogan: ""Hongkongers, revenge! "" The second word of the slogan used to be ""add oil"", which evolved into ""resist"". And n…"
Hongkong_Bear,RT @frances_sit: Police arrived at the scene to urge ppl to leave &amp; warning them they could be charged for participating in an illegal asse…
NtwWilliam,"RT @Fight4HongKong: 周同學悼念活動
Chow Tsz-lok Memorial Service

There will be a memorial service for Chow Tsz-lok tonight:
When: Nov 8th (Fri) 2…"
vannie_the,RT @HongKongFP: Cause of Hong Kong university student’s fall remains unclear as car park owner releases CCTV footage https://t.co/KyHSyVD6h…
LilianLian13,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
peterhandlebar,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
yyy_kin,"RT @Woppa1Woppa: Central.  News broke out about Chow's death, and many working class citizens came to Chater Garden during their lunch brea…"
Ming45244976,RT @Woppa1Woppa: Scene at #HKUST.  The stage used for graduation ceremony has turned into a memorial site for Alex Chow.  While most at the…
pusangkalye22,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
BoarLittle,RT @galileocheng: Angry citizens are chanting “Fxxk off cockroaches! Murderer!” In Chater Garden for flash mob rally and mourning for Alex…
