id,created_at,text
1182192438041071616,2019-10-10 07:13:35,"b'Lithium-ion batteries have become ubiquitous in everything from mobile phones, tablets and laptops to electric cars https://t.co/wjCzHrYHQ0'"
1182187781382127617,2019-10-10 06:55:05,b'In \xe2\x80\x9cPain and Glory\xe2\x80\x9d Pedro Almod\xc3\xb3var critically examines a life lived entirely for cinema https://t.co/n5ec3gYOeU'
1182183799515439105,2019-10-10 06:39:16,"b'Are you elated when the message ""meeting cancelled"" pops up? Then you\'re a JOMO  https://t.co/kzgz8DaNfG'"
1182179649188704256,2019-10-10 06:22:46,"b'The Amazon is reaching a dangerous tipping-point. Beyond this, the rainforest is unlikely to survive https://t.co/5UPA21pmch'"
1182175790189944832,2019-10-10 06:07:26,b'The long-feared clash will have consequences across the Middle East https://t.co/gq9rJiddE8'
1182173790123503616,2019-10-10 05:59:29,"b'Eventually, Brussels expects Britain to have to adopt a more accommodating approach to Brexit negotiations https://t.co/zm7WCboV3B'"
1182169513430786048,2019-10-10 05:42:30,"b""Rome's decline was caused less by gaping wounds than gaping inequality, and by leaders unable or willing to remedy\xe2\x80\xa6 https://t.co/IoahGrv3xB"""
1182165381173133315,2019-10-10 05:26:05,b'On our \xe2\x80\x9cMoney talks\xe2\x80\x9d podcast this week: @Henry_Curr explains why the world economy is behaving strangely; the link\xe2\x80\xa6 https://t.co/AhOJuZugxr'
1182161562817175552,2019-10-10 05:10:54,b'Students at elite universities end up paying a large opportunity cost by pursuing the arts https://t.co/epObFnE5Ou'
1182157083774537729,2019-10-10 04:53:06,"b'In Lithuania, 57% of scientists and engineers are women https://t.co/F3TCA5de7i'"
1182152605939707904,2019-10-10 04:35:19,"b'After at least 80% of meetings, any decisions taken will be in line with the HIPPO or \xe2\x80\x9chighest-paid person\xe2\x80\x99s opinio\xe2\x80\xa6 https://t.co/U5pUbx5nPW'"
1182148619522195456,2019-10-10 04:19:28,b'Airlines partly have themselves to blame for the decline in first-class travel https://t.co/JSZWUUz1Ss'
1182144702348496903,2019-10-10 04:03:54,"b'Orwell wrote \xe2\x80\x9c1984\xe2\x80\x9d not as a prophecy but as a warning, to galvanise action so that the future he described never c\xe2\x80\xa6 https://t.co/odaCPL2Vjr'"
1182143935134744576,2019-10-10 04:00:51,"b""India's skies, streets, rivers and coasts will remain dangerously dirty until they receive the attention they need https://t.co/jH9qShjj3B"""
1182140275155767297,2019-10-10 03:46:19,"b'Having children lowers women\xe2\x80\x99s lifetime earnings, an outcome known as the \xe2\x80\x9cchild penalty\xe2\x80\x9d https://t.co/OrJHYf9fNO'"
1182135395724791808,2019-10-10 03:26:56,"b'The death of baby-boomers will put downward pressure on house prices, but the wealth they leave will go to only a f\xe2\x80\xa6 https://t.co/urgl2kWZ3X'"
1182131025406828544,2019-10-10 03:09:34,b'Corruption is a cause as well as a consequence of weak institutions  https://t.co/8Is8qrCCbn'
1182126900384272384,2019-10-10 02:53:10,"b'The death of baby-boomers will put downward pressure on house prices, but the wealth they leave will go to only a f\xe2\x80\xa6 https://t.co/dtAJySXTw3'"
1182122015450378241,2019-10-10 02:33:45,"b'According to a recent report, around 15% of marine animals are likely to disappear by the end of the century https://t.co/e2yP3GBWIs'"
1182116821660569600,2019-10-10 02:13:07,"b'A lot of people get angry about pollution. Now it seems they may do so because of it, too https://t.co/LTHoAZuaWA'"
1182114896051355648,2019-10-10 02:05:28,"b'In a rare split with Donald Trump, Republican lawmakers joined their Democratic colleagues to condemn the move https://t.co/hMy1SOZXaO'"
1182110896145014784,2019-10-10 01:49:34,b'The Reconstruction amendments have not set everything right for \xe2\x80\x9cthe world\xe2\x80\x99s first biracial democracy\xe2\x80\x9d https://t.co/79UtimU3TC'
1182106076327661568,2019-10-10 01:30:25,b'Artists have reworked old tourism posters that extolled the virtues of Hong Kong as a resort https://t.co/FX7cjqsvin'
1182102151780278277,2019-10-10 01:14:50,"b'After at least 80% of meetings, any decisions taken will be in line with the HIPPO or \xe2\x80\x9chighest-paid person\xe2\x80\x99s opinio\xe2\x80\xa6 https://t.co/sckAkF8eu5'"
1182097341714747399,2019-10-10 00:55:43,"b'Having children lowers women\xe2\x80\x99s lifetime earnings, an outcome known as the \xe2\x80\x9cchild penalty\xe2\x80\x9d https://t.co/NF8m07TV8N'"
1182093282257571840,2019-10-10 00:39:35,b'Warming already exceeds 1.5\xc2\xb0C in some places. Climate models that include human activity are the only ones that can\xe2\x80\xa6 https://t.co/uP299ac49D'
1182088767416475649,2019-10-10 00:21:38,b'Lithium-ion batteries have transformed society because they are lightweight and rechargeable https://t.co/EWWexdxNRR'
1182084763869470722,2019-10-10 00:05:44,b'One in five girls marries before reaching adulthood. One in twenty is wed before her fifteenth birthday https://t.co/83jJ1FXJta'
1182079686148526081,2019-10-09 23:45:33,"b""This year's Nobel prize for physics was split two ways, but both halves went for discoveries beyond Earth https://t.co/V5icJNXQK7"""
1182075825723711488,2019-10-09 23:30:13,b'Climate change is not a problem that can be put off for a few decades. It is here and now https://t.co/0gi8ZdMki3'
1182071263814139905,2019-10-09 23:12:05,b'Christine Lagarde will soon take the helm at the ECB. She must listen to the northern Europeans\xe2\x80\x94and tell them some\xe2\x80\xa6 https://t.co/MIcwfGOTUM'
1182067305053872129,2019-10-09 22:56:21,b'Democrats find themselves with a dilemma: how to exercise oversight when the White House refuses to follow the rule\xe2\x80\xa6 https://t.co/cA4fAsGhu7'
1182062490445910017,2019-10-09 22:37:14,"b""American officials have dithered over a response to China's human-rights abuses. They have finally put their foot d\xe2\x80\xa6 https://t.co/cvhImQMd8E"""
1182060802506932224,2019-10-09 22:30:31,"b'Speaking at The Economist\xe2\x80\x99s #OpenFuture Festival, @joshuawongcf, secretary general of the pro-independence politica\xe2\x80\xa6 https://t.co/SF1ZO0Xzfa'"
